persona_id,file_name,unique_id
MetaStructor,gpt_hestia_metastruction.md,metastructor_v1_20250430
Eunomia,gpt_hestia_validator_eunomia.md,eunomia_v1_20250410
MetaArchitect,GPT_Hestia_v2.0.md,metaarchitect_v2_20250430
ArchDocMaintainer,gpt_persona_architecture_documentation.md,archdoc_maintainer_v1_20250427
ArchDocOrchestrator,gpt_persona_archdoc_orchestrator.md,archdoc_orchestrator_v1_20250427
ConfigReviewer,gpt_persona_configreviewer_v17.05.md,configreviewer_v17.05_20250430
ConfigReviewer,gpt_persona_configreviewer_v17.04.md,configreviewer_v17.04_20250424
ConfigReviewer,gpt_persona_configreviewer_reviewed_v17.04.md,configreviewer_reviewed_v17.04_20250424
MetaArchitect,gpt_persona_meta_architect.md,metaarchitect_v2_20250430
Odysseus,gpt_persona_meta_architect_reviewed_20250422_2240.md,odysseus_v1_20250423
Odysseus,gpt_persona_odysseus_v2.md,odysseus_compact_v2_20250430
Nomia,gpt_persona_nomia.md,nomia_v1_20250430
Nomia,gpt_persona_nomia_reviewed.md,nomia_reviewed_v1_20250430
Eunomia,gpt_persona_eunomia_v3.md,eunomia_v3_20250430
Eunomia,gpt_persona_eunomia_v3.1_reviewed.md,eunomia_reviewed_v3.1_20250430
ToolSteward,tool_steward.md,tool_steward_v1_20250430
Pythagoras,2025-06-16_pythagoras.yaml, pythagoras_v1_20250616
Strategos,2025-06-16_strategos_v1.1.yaml, strategos_v1.1_20250616
Strategos,2025-06-16_strategos.yaml, strategos_v1_20250616
Promachos,promachos_2025-06-07.md, promachos_v1_20250607
