file,domain,referenced_entities,broken_references
/mnt/data/extracted/templates/templates/._gamma_inferred_occupancy_evaluator.yaml,parse_error,[],[]
/mnt/data/extracted/templates/templates/._entity_availability_monitor.yaml,parse_error,[],[]
/mnt/data/extracted/templates/templates/._gamma_tier_monitor.yaml,parse_error,[],[]
/mnt/data/extracted/templates/templates/._sensor_charon_audit.yaml,parse_error,[],[]
/mnt/data/extracted/templates/templates/._tier_relationship_validator.yaml,parse_error,[],[]
/mnt/data/extracted/templates/templates/._mu_validators.yaml,parse_error,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._phanes_wrapper_template.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/phanes_wrapper_template.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._tier_gamma_macro_library.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/tier_gamma_macro_library.jinja,jinja_macro,[],['min_out']
/mnt/data/extracted/custom_templates/custom_templates/._macro_abstraction_templates.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/macro_abstraction_templates.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._subsystem_macros.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/subsystem_macros.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._tier_epsilon_macro_library.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/tier_epsilon_macro_library.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._phanes_wrapper_template_v4.0.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/phanes_wrapper_template_v4.0.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._registry_macros.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/registry_macros.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._template.extract_canonical_id.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/template.extract_canonical_id.jinja,jinja_macro,['sensor.split'],[]
/mnt/data/extracted/custom_templates/custom_templates/._tier_delta_macro_library.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/tier_delta_macro_library.jinja,jinja_macro,[],['reset_value']
/mnt/data/extracted/custom_templates/custom_templates/._developer_tools_templates.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/developer_tools_templates.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._light_availability_macro.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/light_availability_macro.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._theia_circadian_room_sensors_dynamic.yaml.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/theia_circadian_room_sensors_dynamic.yaml.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._aether_climate_macro.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/aether_climate_macro.jinja,jinja_macro,"['sensor.effective_bedroom_temperature', 'binary_sensor.bedroom_heating_needed']","['mode', 'thermostat', 'temp']"
/mnt/data/extracted/custom_templates/custom_templates/._theia_circadian_room_sensors.yaml.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/theia_circadian_room_sensors.yaml.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._tier_beta_macro_library.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/tier_beta_macro_library.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._phanes_core_template.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/phanes_core_template.jinja,jinja_macro,['script.resolve_protocol'],"['light_slug', 'friendly_name', 'canonical_id']"
/mnt/data/extracted/custom_templates/custom_templates/._template.library.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/template.library.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._home_assistant_macros.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/home_assistant_macros.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/._hephaestus_delta_macro.jinja,jinja_macro,[],[]
/mnt/data/extracted/custom_templates/custom_templates/hephaestus_delta_macro.jinja,jinja_macro,[],[]
